,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Maintenance cost,,,,15.00%,10.02%,beta,13.45,76.2166666666667,15.00%,3.75%,-,-,15.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Accommodation cost,,,,30.00%,24.06%,beta,10.9,25.4333333333333,30.00%,7.50%,-,-,30.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,YEAR BASE,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Standard Error,,,,25%,40%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,2016,,,,,,,,,2017,,,,,,,,,2018,,,,,,,2019,,,,,,,2020,,,,,,,2021,,,,,,,2022,,,,,,,2023,,,,,,,2024,,,,,,,2025,,,,,,,2026,,,,,,,2027,,,,,,,2028,,,,,,,2029,,,,,,,2030,,,,,,,2031,,,,,,,2032,,,,,,,2033,,,,,,,2034,,,,,,,2035,,,Newcrest Ltd,,Ministry of Health,,TOTAL,,
,,,,,,,,,,,DETERMINISTIC,,PROBABILISTIC,,,,,,,,,,,,Quantity,MZN,USD,,,,,,,Quantity,MZN,USD,,,,,,,Quantity,MZN,USD,,,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,,,,Quantity,MZN,USD,,MZN,USD,MZN,USD,MZN,USD,
,Elimination activity,Budget category,Comments,Basic package ,Items,Capital vs. Current,Financial vs. Non-financial,Resource use (%),Unit Prices,Adding parameters to price,Deterministic price,Useful Life,Probabilistic price,Distribution,alpha,beta,S.E.,Price Value in the model,,Quant,Months /days,Det. Q,S.E.,Probab. Q,Q value,MZN 2015,USD 2015,,Quant,Months,Det. Q,S.E.,Probab. Q,Q value,MZN 2016,USD 2016,,Quant,Months,Det. Q,S.E.,Probab. Q,Q value,MZN 2017,USD 2017,,,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,DETERM.,S.E.,PROBAB.,Value,0.00,0.00,,"10,786,613.89","283,858.26",0.00,0.00,"10,786,613.89","283,858.26",1.1. Infrastructures and capital investment
,Entomology,Personnel,1 for the whole project guidance and coordination,1,Entomologist MSc,current,Financial,100%,"47,600","47,600.00","47,600.00",1.0,"59,727.2",gamma,16,2975,"11,900.0","47,600.00",,1,13.00,13,0.06,13.78,13.00,"618,800.00","16,284.21",,1,13,13,0.01,13.13,13.00,"617,598.45","16,252.59",,1,13,13,0.06,13.78,13.00,"615,941.94","16,209.00",,,,1,0.09,1.09,1.00,0.00,0.00,,1,-0.09,0.91,1.00,0.00,0.00,,1,-0.10,0.9,1.00,0.00,0.00,,1,-0.05,0.95,1.00,0.00,0.00,,1,0.03,1.03,1.00,0.00,0.00,,1,-0.06,0.94,1.00,0.00,0.00,,1,0.07,1.07,1.00,0.00,0.00,,1,0.06,1.06,1.00,0.00,0.00,,1,0.10,1.1,1.00,0.00,0.00,,1,0.10,1.1,1.00,0.00,0.00,,1,-0.03,0.97,1.00,0.00,0.00,,1,0.09,1.09,1.00,0.00,0.00,,1,0.02,1.02,1.00,0.00,0.00,,1,-0.07,0.93,1.00,0.00,0.00,,1,-0.07,0.93,1.00,0.00,0.00,,1,-0.10,0.9,1.00,0.00,0.00,,1,0.10,1.1,1.00,0.00,0.00,,1,0.07,1.07,1.00,0.00,0.00,,"1,852,340.38","48,745.80",0.00,0.00,"1,852,340.38","48,745.80",Office space (40 square meters)
,Entomology,Personnel,"3 per sent site (PSC, HLC, CDC)",3,Fieldworkers,current,Financial,100%,"12,984","12,984.00","12,984.00",1.0,"15,028.2",gamma,16,811.5,"3,246.0","12,984.00",,3,13.00,39,-0.04,2.88,39.00,"506,376.00","13,325.68",,3,13,39,-0.03,2.91,39.00,"505,392.75","13,299.81",,3,13,39,0.04,3.12,39.00,"504,037.19","13,264.14",,,,3,0.06,3.18,3.00,0.00,0.00,,3,-0.03,2.91,3.00,0.00,0.00,,3,0.08,3.24,3.00,0.00,0.00,,3,-0.09,2.73,3.00,0.00,0.00,,3,0.10,3.3,3.00,0.00,0.00,,3,0.04,3.12,3.00,0.00,0.00,,3,-0.07,2.79,3.00,0.00,0.00,,3,0.00,3,3.00,0.00,0.00,,3,-0.08,2.76,3.00,0.00,0.00,,3,0.07,3.21,3.00,0.00,0.00,,3,0.00,3,3.00,0.00,0.00,,3,0.08,3.24,3.00,0.00,0.00,,3,-0.08,2.76,3.00,0.00,0.00,,3,-0.02,2.94,3.00,0.00,0.00,,3,-0.02,2.94,3.00,0.00,0.00,,3,-0.10,2.7,3.00,0.00,0.00,,3,-0.05,2.85,3.00,0.00,0.00,,3,-0.07,2.79,3.00,0.00,0.00,,"1,515,805.94","39,889.63",0.00,0.00,"1,515,805.94","39,889.63",Computers
,Entomology,Personnel,2 temporary for manual collections,2,Fieldworkers,current,Financial,100%,"12,984","12,984.00","12,984.00",1.0,"20,118.0",gamma,16,811.5,"3,246.0","12,984.00",,2,13.00,26,0.09,2.18,26.00,"337,584.00","8,883.79",,2,13,26,0.03,2.06,26.00,"336,928.50","8,866.54",,2,13,26,0.06,2.12,26.00,"336,024.79","8,842.76",,,,1,0.05,1.05,1.00,0.00,0.00,,1,-0.10,0.9,1.00,0.00,0.00,,1,-0.08,0.92,1.00,0.00,0.00,,1,0.09,1.09,1.00,0.00,0.00,,1,-0.07,0.93,1.00,0.00,0.00,,1,-0.04,0.96,1.00,0.00,0.00,,1,-0.05,0.95,1.00,0.00,0.00,,1,0.00,1,1.00,0.00,0.00,,1,-0.01,0.99,1.00,0.00,0.00,,1,-0.10,0.9,1.00,0.00,0.00,,1,0.10,1.1,1.00,0.00,0.00,,1,0.10,1.1,1.00,0.00,0.00,,1,-0.09,0.91,1.00,0.00,0.00,,1,0.08,1.08,1.00,0.00,0.00,,1,0.03,1.03,1.00,0.00,0.00,,1,-0.09,0.91,1.00,0.00,0.00,,1,-0.03,0.97,1.00,0.00,0.00,,1,0.10,1.1,1.00,0.00,0.00,,"1,010,537.29","26,593.09",0.00,0.00,"1,010,537.29","26,593.09",Laser printer and scanner
,Entomology,Personnel,1 per sent site,1,Fieldwork supervisor,current,Financial,100%,"52,524","52,524.00","52,524.00",1.0,"51,090.7",gamma,16,3282.75,"13,131.0","52,524.00",,1,13.00,13,-0.07,0.93,13.00,"682,812.00","17,968.74",,1,13,13,-0.09,0.91,13.00,"681,486.15","17,933.85",,1,13,13,0.06,1.06,13.00,"679,658.28","17,885.74",,,,8,-0.08,7.36,8.00,0.00,0.00,,8,-0.07,7.44,8.00,0.00,0.00,,8,0.03,8.24,8.00,0.00,0.00,,8,0.06,8.48,8.00,0.00,0.00,,8,-0.06,7.52,8.00,0.00,0.00,,8,0.06,8.48,8.00,0.00,0.00,,8,0.02,8.16,8.00,0.00,0.00,,8,-0.04,7.68,8.00,0.00,0.00,,8,-0.03,7.76,8.00,0.00,0.00,,8,-0.04,7.68,8.00,0.00,0.00,,8,-0.08,7.36,8.00,0.00,0.00,,8,-0.01,7.92,8.00,0.00,0.00,,8,0.08,8.64,8.00,0.00,0.00,,8,0.04,8.32,8.00,0.00,0.00,,8,-0.03,7.76,8.00,0.00,0.00,,8,-0.06,7.52,8.00,0.00,0.00,,8,-0.04,7.68,8.00,0.00,0.00,,8,-0.02,7.84,8.00,0.00,0.00,,"2,043,956.43","53,788.33",0.00,0.00,"2,043,956.43","53,788.33",Office tables
,Entomology,Personnel,,1,Project assitant,current,Financial,100%,"49,966","49,966.00","49,966.00",1.0,"33,526.4",gamma,16,3122.875,"12,491.5","49,966.00",,1,13.00,13,0.08,1.08,13.00,"649,558.00","17,093.63",,1,13,13,0.00,1.00,13.00,"648,296.72","17,060.44",,1,13,13,-0.09,0.91,13.00,"646,557.87","17,014.68",,,,8,0.02,8.16,8.00,0.00,0.00,,8,-0.07,7.44,8.00,0.00,0.00,,8,0.04,8.32,8.00,0.00,0.00,,8,-0.10,7.2,8.00,0.00,0.00,,8,-0.05,7.6,8.00,0.00,0.00,,8,-0.08,7.36,8.00,0.00,0.00,,8,0.04,8.32,8.00,0.00,0.00,,8,-0.04,7.68,8.00,0.00,0.00,,8,-0.07,7.44,8.00,0.00,0.00,,8,0.05,8.4,8.00,0.00,0.00,,8,-0.08,7.36,8.00,0.00,0.00,,8,0.07,8.56,8.00,0.00,0.00,,8,-0.04,7.68,8.00,0.00,0.00,,8,-0.05,7.6,8.00,0.00,0.00,,8,0.02,8.16,8.00,0.00,0.00,,8,0.03,8.24,8.00,0.00,0.00,,8,0.10,8.8,8.00,0.00,0.00,,8,-0.03,7.76,8.00,0.00,0.00,,"1,944,412.60","51,168.75",0.00,0.00,"1,944,412.60","51,168.75",Office chairs for staff and visitors
,Entomology,Personnel,CISM - species identification,,Microscopist,current,Financial,100%,"13,770","13,770.00","13,770.00",1.0,"14,377.2",gamma,16,860.625,"3,442.5","13,770.00",,1,13.00,13,0.01,1.01,13.00,"179,010.00","4,710.79",,1,13,13,-0.05,0.95,13.00,"178,662.41","4,701.64",,1,13,13,0.07,1.07,13.00,"178,183.20","4,689.03",,,,1,-0.10,0.9,1.00,0.00,0.00,,1,0.02,1.02,1.00,0.00,0.00,,1,-0.07,0.93,1.00,0.00,0.00,,1,0.03,1.03,1.00,0.00,0.00,,1,0.08,1.08,1.00,0.00,0.00,,1,-0.07,0.93,1.00,0.00,0.00,,1,0.00,1,1.00,0.00,0.00,,1,-0.02,0.98,1.00,0.00,0.00,,1,0.05,1.05,1.00,0.00,0.00,,1,0.01,1.01,1.00,0.00,0.00,,1,-0.09,0.91,1.00,0.00,0.00,,1,0.06,1.06,1.00,0.00,0.00,,1,-0.06,0.94,1.00,0.00,0.00,,1,-0.09,0.91,1.00,0.00,0.00,,1,-0.04,0.96,1.00,0.00,0.00,,1,0.01,1.01,1.00,0.00,0.00,,1,-0.08,0.92,1.00,0.00,0.00,,1,-0.07,0.93,1.00,0.00,0.00,,"535,855.61","14,101.46",0.00,0.00,"535,855.61","14,101.46",Overhead projector
,Entomology,Personnel,CISM - molecular work ,,Lab Technician,current,Non-financial,100%,"48,406","48,406.00","48,406.00",1.0,"33,388.7",gamma,16,3025.375,"12,101.5","48,406.00",,1,13.00,13,-0.10,0.90,13.00,"629,278.00","16,559.95",,1,13,13,0.01,1.01,13.00,"628,056.10","16,527.79",,1,13,13,-0.10,0.90,13.00,"626,371.54","16,483.46",,,,2,-0.09,1.82,2.00,0.00,0.00,,2,0.05,2.1,2.00,0.00,0.00,,2,0.04,2.08,2.00,0.00,0.00,,2,-0.08,1.84,2.00,0.00,0.00,,2,-0.10,1.8,2.00,0.00,0.00,,2,-0.02,1.96,2.00,0.00,0.00,,2,0.05,2.1,2.00,0.00,0.00,,2,0.02,2.04,2.00,0.00,0.00,,2,-0.09,1.82,2.00,0.00,0.00,,2,0.05,2.1,2.00,0.00,0.00,,2,-0.06,1.88,2.00,0.00,0.00,,2,0.06,2.12,2.00,0.00,0.00,,2,-0.09,1.82,2.00,0.00,0.00,,2,-0.08,1.84,2.00,0.00,0.00,,2,-0.06,1.88,2.00,0.00,0.00,,2,-0.09,1.82,2.00,0.00,0.00,,2,0.09,2.18,2.00,0.00,0.00,,2,-0.07,1.86,2.00,0.00,0.00,,"1,883,705.64","49,571.20",0.00,0.00,"1,883,705.64","49,571.20",Telephones
,Entomology,Personnel,CISM - enter all data from sentinel sites,1,Data entry department,current,Financial,100%,"9,411","9,411.00","9,411.00",1.0,"7,089.8",gamma,16,588.1875,"2,352.8","9,411.00",,1,13.00,13,0.08,1.08,13.00,"122,343.00","3,219.55",,1,13,13,0.09,1.09,13.00,"122,105.44","3,213.30",,1,13,13,0.08,1.08,13.00,"121,777.93","3,204.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Personnel,,,Quality Control Technician,current,Financial,20%,"50,462","50,462.00","50,462.00",1.0,"68,555.8",gamma,16,3153.875,"12,615.5","50,462.00",,1,13.00,3,0.08,1.08,2.60,"131,201.20","3,452.66",,1,13,3,-0.03,0.97,2.60,"130,946.44","3,445.96",,1,13,3,-0.02,0.98,2.60,"130,595.22","3,436.72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Personnel,In the coordination budget,,Data Manager,current,Financial,20%,"68,712","68,712.00","68,712.00",1.0,"44,940.8",gamma,16,4294.5,"17,178.0","68,712.00",,1,13.00,3,-0.10,0.90,2.60,"178,651.20","4,701.35",,1,13,3,0.00,1.00,2.60,"178,304.30","4,692.22",,1,13,3,-0.01,0.99,2.60,"177,826.06","4,679.63",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Personnel,,1,Insectary technician,current,Financial,100%,"11,794","11,794.00","11,794.00",1.0,"12,888.6",gamma,16,737.125,"2,948.5","11,794.00",,1,13.00,13,0.05,1.05,13.00,"153,322.00","4,034.79",,1,13,13,0.06,1.06,13.00,"153,024.29","4,026.95",,1,13,13,-0.05,0.95,13.00,"152,613.85","4,016.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Personnel,1 around insect,1,Security,current,Non-financial,100%,"9,411","9,411.00","9,411.00",1.0,"7,313.4",gamma,16,588.1875,"2,352.8","9,411.00",,1,13.00,13,-0.05,0.95,13.00,"122,343.00","3,219.55",,1,13,13,-0.05,0.95,13.00,"122,105.44","3,213.30",,1,13,13,0.01,1.01,13.00,"121,777.93","3,204.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Personnel,Driver for entomology studies,1,Car driver,current,Non-financial,100%,"19,349","19,349.00","19,349.00",1.0,"15,318.1",gamma,16,1209.3125,"4,837.3","19,349.00",,1,13.00,13,0.06,1.06,13.00,"251,537.00","6,619.39",,1,13,13,0.03,1.03,13.00,"251,048.58","6,606.54",,1,13,13,0.08,1.08,13.00,"250,375.22","6,588.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,NMCP would inccur in custom (40%) and transport costs (25%). We used the ones already in the hospital,2,Containers,capital,Financial,100%,"150,000","247,500.00","247,500.00",10.0,"199,296.2",gamma,16,15468.75,"61,875.0","247,500.00",,2,1.00,2,0.05,2.10,2.00,"49,500.00","1,302.63",,2,1,2,0.02,2.04,2.00,"49,403.88","1,300.10",,2,1,2,-0.07,1.86,2.00,"49,271.37","1,296.62",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,Essential,1,Trabalhos serralharia,capital,Financial,100%,"67,939","67,938.88","67,938.88",10.0,"50,548.4",gamma,16,4246.1797752809,"16,984.7","67,938.88",,1,1.00,1,-0.07,0.93,1.00,"6,793.89",178.79,,1,1,1,-0.02,0.98,1.00,"6,780.70",178.44,,1,1,1,0.09,1.09,1.00,"6,762.51",177.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,"Our containers already had electricity system, so we had to uninstall and install again the system",,Trabalhos electricidade (montagem e desmontagem sistema eléctrico),capital,Financial,100%,"19,782","19,782.20","19,782.20",10.0,"26,271.9",gamma,16,1236.38764044944,"4,945.6","19,782.20",,1,1.00,1,0.05,1.05,1.00,"1,978.22",52.06,,1,1,1,0.08,1.08,1.00,"1,974.38",51.96,,1,1,1,0.09,1.09,1.00,"1,969.08",51.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,,,Trabalhos electricidade (montagem e desmontagem sistema de frio),capital,Financial,100%,"16,785","16,784.90","16,784.90",10.0,"19,229.0",gamma,16,1049.05617977528,"4,196.2","16,784.90",,1,1.00,1,0.10,1.10,1.00,"1,678.49",44.17,,1,1,1,0.10,1.10,1.00,"1,675.23",44.09,,1,1,1,0.01,1.01,1.00,"1,670.74",43.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entomology,Infrastructure,,1,Trabalhos cobertura,capital,Financial,100%,"127,086","127,085.66","127,085.66",10.0,"110,809.5",gamma,16,7942.85393258427,"31,771.4","127,085.66",,1,1.00,1,-0.03,0.97,1.00,"12,708.57",334.44,,1,1,1,-0.08,0.92,1.00,"12,683.89",333.79,,1,1,1,0.07,1.07,1.00,"12,649.87",332.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
